"Weeknumber";"2004-2009";"1996-2003";"1991-1995";"1986-1990";"1981-1985";"1976-1980";"1971-1975";"1966-1970";"1961-1965";"1956-1960";"1951-1955";"1946-1950";"1941-1945";"1936-1940";"1931-1935";"<1931"
"1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5";0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;1
"6";0;1;1;1;1;1;1;2;2;2;0;0;0;1;1;2
"7";0;1;1;1;2;2;2;3;3;3;1;0;0;1;2;2
"8";0;2;2;2;2;2;3;3;4;3;1;1;1;3;6;11
"9";0;2;2;2;2;3;3;4;4;4;1;1;2;5;10;27
"10";0;2;2;2;2;3;3;4;4;4;1;1;2;7;29;46
"11";0;2;2;2;2;3;3;4;4;4;2;1;3;18;50;55
"12";0;2;2;2;3;3;3;4;4;4;2;1;3;28;61;61
"13";0;2;3;3;3;3;4;4;5;5;2;2;4;42;70;67
"14";0;2;3;3;3;3;4;4;5;5;2;2;6;61;75;70
"15";0;2;3;3;3;3;4;4;5;5;3;3;10;72;78;72
"16";0;2;3;3;3;3;4;5;5;6;4;4;18;79;79;73
"17";0;3;3;3;4;4;5;5;6;7;5;6;26;81;80;73
"18";0;3;4;4;4;5;5;6;8;9;7;11;41;83;81;74
"19";0;4;5;5;5;6;7;8;10;11;9;22;56;84;82;75
"20";0;5;6;6;6;7;8;9;12;17;11;41;77;86;83;76
"21";0;5;6;6;7;8;9;17;14;20;20;66;87;87;84;77
"22";0;6;7;7;8;13;11;27;17;23;43;83;88;87;84;77
"23";0;7;8;8;9;17;15;32;25;28;67;88;89;88;85;78
"24";0;9;10;10;13;21;20;37;40;35;80;90;90;89;86;79
"25";0;14;14;15;18;26;25;43;53;48;84;90;91;89;87;80
"26";0;21;20;19;21;29;29;49;66;61;87;91;91;90;87;81
"27";2;28;23;21;23;33;37;58;74;69;89;91;91;90;88;82
"28";3;30;25;23;30;47;58;73;83;76;89;92;92;91;88;83
"29";4;31;27;27;42;62;72;79;85;80;90;92;92;91;89;83
"30";6;34;32;42;57;69;76;82;86;82;90;92;92;91;89;83
"31";10;42;50;56;65;73;78;83;86;84;90;92;92;91;89;83
"32";20;58;58;61;68;75;80;84;87;84;91;92;92;91;89;84
"33";29;61;60;63;69;76;80;84;87;85;91;92;92;91;89;84
"34";38;62;62;64;70;76;81;84;87;85;91;92;93;91;89;84
"35";45;64;63;65;71;77;81;85;87;86;91;93;93;91;89;84
"36";47;64;63;66;72;77;82;85;87;86;91;93;93;91;89;84
"37";50;65;64;67;72;78;82;85;88;86;91;93;93;91;89;84
"38";52;66;65;67;73;78;82;85;88;86;91;93;93;91;89;84
"39";53;67;66;68;73;78;82;86;88;86;91;93;93;92;89;84
"40";55;68;66;68;74;79;83;86;88;86;91;93;93;92;89;84
"41";57;68;67;69;74;79;83;86;88;86;91;93;93;92;89;84
"42";58;69;67;69;74;79;83;86;88;86;91;93;93;92;89;84
"43";59;70;68;70;75;80;83;86;88;87;91;93;93;92;89;84
"44";60;70;69;71;75;80;84;87;89;87;91;93;93;92;90;84
"45";61;71;69;71;76;80;84;87;89;87;92;93;93;92;90;84
"46";62;71;70;71;76;81;84;87;89;87;92;93;93;92;90;84
"47";63;72;70;72;76;81;84;87;89;87;92;93;93;92;90;84
"48";64;73;71;73;77;81;84;87;89;87;92;93;93;92;90;85